condition,mode,n,retention_A_mean,retention_A_sem,retention_B_mean,retention_B_sem,retention_C_mean,retention_C_sem,retention_D_mean,retention_D_sem,retention_mean_mean,retention_mean_sem,dai_core_mean,dai_core_sem,dai_unique_mean,dai_unique_sem,real_schema_mean,real_schema_sem,distortion_mean,distortion_sem
FULL,natural,3,0.33125258058619994,0.006479974006935692,0.3002569926902652,0.007974193288535294,0.2922659444933136,0.01193086657254245,0.24897502440338334,0.008148286248386094,0.2931876355432905,0.007543988877029343,0.9506250588316529,0.008217838743330484,0.0,0.0,0.46306973695755005,0.01899306755382117,0.07498910549193948,0.0036777817622076097
FULL,hyper,3,0.3432601309226205,0.006968590153211409,0.3062115111388266,0.0015874094818595392,0.3022054061293602,0.008736068349125365,0.25759083482747275,0.0084324834414915,0.30231697075457004,0.005938966138506509,0.9501396950023145,0.006949723388258675,0.0,0.0,0.47628987828890484,0.023089170717153475,0.07476155046269878,0.003614732909609097
ABLATE_M1,natural,3,0.32930865286228556,0.0076404417976029095,0.304534993134439,0.006428147736856458,0.2861483219700555,0.009365332838387199,0.24849861371330917,0.008165440502618342,0.2921226454200223,0.007706570707781741,0.9449314421787897,0.0054081856474715246,-0.003684311605479136,0.0021486162188738486,0.4790331224600474,0.02585262220194423,0.07438965507890744,0.004013489589185908
ABLATE_M1,hyper,3,,,,,,,,,,,,,,,,,,
ABLATE_M2,natural,3,0.32996090734377503,0.01131485354862426,0.3019118303588281,0.004635604546527349,0.28726814438899356,0.007167656152455497,0.24765877146273851,0.007359916455728452,0.2916999133885838,0.006012501441700892,0.9495309057752691,0.004172213112541371,0.0,0.0,0.4756002227465312,0.01459461992855862,0.07478738604214613,0.003698643799150586
ABLATE_M2,hyper,3,,,,,,,,,,,,,,,,,,
ABLATE_M5,natural,3,0.33664049037421745,0.0057322367991856525,0.29926580710647005,0.009486650546357528,0.2913389521030088,0.007888282365004159,0.25212099046135944,0.007821158373822792,0.29484156001126394,0.006679835720015893,0.9299530077372565,0.026711532928895002,-0.0010837482110535482,0.0010837482110535482,0.4787638584772746,0.029909788132406034,0.0729328121324196,0.004117256829736766
ABLATE_M5,hyper,3,,,,,,,,,,,,,,,,,,
ABLATE_M7,natural,3,0.3417099053040147,0.008909347007950638,0.307807892250518,0.005915514624279676,0.2911091805435717,0.006453198182210936,0.2557058904009561,0.007819611333348806,0.2990832171247651,0.006131360725042346,0.9494975618826397,0.007133918289632702,0.0,0.0,0.482882817586263,0.025857943321601004,0.0748469377242769,0.003502115168517752
ABLATE_M7,hyper,3,,,,,,,,,,,,,,,,,,
ABLATE_M10,natural,3,0.3269103648296247,0.008075229843344455,0.3025037736321489,0.006760187976885802,0.28725450462661684,0.00869218016258817,0.24713223481861255,0.008536989819732211,0.29095021947675076,0.007840639036872918,0.9463728080744841,0.005770275680707616,-0.0024580238478946904,0.0024580238478946904,0.47438061237335205,0.023669824693934742,0.07434156758683437,0.00400348249700341
ABLATE_M10,hyper,3,,,,,,,,,,,,,,,,,,
