condition,seed_idx,seed,mode,retention_A,retention_B,retention_C,retention_D,retention_mean,dai_core,dai_unique,real_schema,distortion,n_events
FULL,0,42,natural,0.34269380662590265,0.31561430799774826,0.30321234883740544,0.26402275217697024,0.30638580390950665,0.9349339983424881,0.0,0.4289039075374603,0.07437155445484994,45
FULL,0,42,hyper,0.3570158400107175,0.30706167849712074,0.31709463987499475,0.2738767033442855,0.3137622154317796,0.9368093250527924,0.0,0.4301115870475769,0.07415679424089545,45
FULL,1,1042,natural,0.3202599708456546,0.2963036438450217,0.26843058271333575,0.23603284684941173,0.28025676106335595,0.9627063400578417,0.0,0.4945308268070221,0.08164549545283366,46
FULL,1,1042,hyper,0.3344408601988107,0.3084354873280972,0.2868431059177965,0.24565340508706868,0.2938432146329433,0.9602139697788534,0.0,0.49932006001472473,0.08130288557437997,46
FULL,2,2042,natural,0.3308039642870426,0.28885302622802556,0.3051549019291997,0.24686947418376803,0.292920341657009,0.9542348380946288,0.0,0.4657744765281677,0.06895026656813481,46
FULL,2,2042,hyper,0.3383236925583333,0.30313736759126186,0.30267847259528935,0.25324239605106413,0.29934548219898716,0.953395790175298,0.0,0.49943798780441284,0.06882497157282093,46
ABLATE_M1,0,42,natural,0.34322752710431814,0.31731305574066937,0.3046184142585844,0.26444626157172024,0.30740131466882303,0.9348340168981961,0.0,0.427535742521286,0.07437737953537843,45
ABLATE_M1,1,1042,natural,0.3168877363204956,0.2969195495825261,0.2796095965895802,0.23747886600904167,0.2827239371254109,0.9533382670893468,-0.007441941491395523,0.5007706880569458,0.08134735260591999,45
ABLATE_M1,2,2042,natural,0.327810695162043,0.2993723740801215,0.27421695506200194,0.2435707135591656,0.286242684465833,0.9466220425488265,-0.0036109933250418843,0.5087929368019104,0.0674442330954239,45
ABLATE_M2,0,42,natural,0.3482457511126995,0.3092884784564376,0.2867652920540422,0.2597823746036738,0.3010204740567133,0.9412311395197168,0.0,0.44745656847953796,0.07389761071250199,45
ABLATE_M2,1,1042,natural,0.30927179334685206,0.3030871762894094,0.27511246618814766,0.23436725372448564,0.2804596723872237,0.9544274460176457,0.0,0.49637725949287415,0.08159200033285809,45
ABLATE_M2,2,2042,natural,0.33236517757177353,0.29335983633063734,0.29992667492479086,0.2488266860600561,0.29361959372181445,0.9529341317884447,0.0,0.4829668402671814,0.06887254708107832,46
ABLATE_M5,0,42,natural,0.3457688386552036,0.31673027644865215,0.300507273292169,0.26728809857741,0.30757362174335867,0.8766621338471329,-0.0032512446331606445,0.4191950559616089,0.06902876492580026,45
ABLATE_M5,1,1042,natural,0.3260696067009121,0.29695493122562766,0.27563582523725927,0.2412237257231027,0.28497102222172543,0.9598511426785244,0.0,0.5132868885993958,0.0811637068892415,46
ABLATE_M5,2,2042,natural,0.3380830257665366,0.2841122136451304,0.29787375777959824,0.2478511470835656,0.2919800360687077,0.9533457466861125,0.0,0.5038096308708191,0.06860596458221706,46
ABLATE_M7,0,42,natural,0.3491230665240437,0.31963299005292356,0.3031193492934108,0.2705448397900909,0.31060506141511723,0.9356738456502244,0.0,0.44015905261039734,0.07442270533941027,45
ABLATE_M7,1,1042,natural,0.32397074927575886,0.3015709419269115,0.28919655084609985,0.2440093664918095,0.2896869021351449,0.9594683450769935,0.0,0.47900763154029846,0.0811137588742956,46
ABLATE_M7,2,2042,natural,0.3520359001122415,0.302219744771719,0.2810116414912045,0.2525634649209678,0.2969576878240332,0.953350494920701,0.0,0.5294817686080933,0.06900434895912481,46
ABLATE_M10,0,42,natural,0.34278353466652334,0.3157160929404199,0.30332168913446367,0.26407011947594583,0.3064728590543382,0.93493499669147,0.0,0.42825886607170105,0.07436511670032381,45
ABLATE_M10,1,1042,natural,0.31639310740865767,0.29838284803554416,0.27347233216278255,0.23680006060749292,0.2812620870536193,0.9534223517216504,-0.007374071543684071,0.5066810846328735,0.08126399813167688,45
ABLATE_M10,2,2042,natural,0.32155445241369307,0.29341237992048264,0.2849694925826043,0.24052652437239885,0.2851157123222947,0.9507610758103321,0.0,0.48820188641548157,0.06739558792850242,45
