seed,condition,m3_seed_level,m3_boost,m3_pres,m3_W_encode,m0_W_encode,m3_replay_count,m3_retention,m3_wslow,m0_retention,m1_retention,m2_retention
42,M3_normalseed_noboost,normal,1.0,7,0.04176507517695427,0.033244673162698746,9,0.2259381532203406,0.019084343686699867,0.2560297669842839,0.2623057635501027,0.25083351181820035
1042,M3_normalseed_noboost,normal,1.0,7,0.035406507551670074,0.021506929770112038,11,0.21492649824358523,0.017540832981467247,0.2232905796263367,0.22568149189464748,0.2305695964023471
2042,M3_normalseed_noboost,normal,1.0,7,0.03546528518199921,0.020760660991072655,6,0.21917596668936312,0.018057527020573616,0.23504027957096696,0.2279284878168255,0.24436658481135964
3042,M3_normalseed_noboost,normal,1.0,7,0.03440017253160477,0.02188059873878956,9,0.2219605885911733,0.015541899017989635,0.2490337633062154,0.24319003196433187,0.23928304086439312
4042,M3_normalseed_noboost,normal,1.0,7,0.03717317059636116,0.01964382827281952,13,0.22947794408537447,0.018593614920973778,0.254630722803995,0.2329163330141455,0.23553235409781337
5042,M3_normalseed_noboost,normal,1.0,7,0.03642318397760391,0.022269591689109802,9,0.23023187858052552,0.01908629760146141,0.2585231636185199,0.24441444920375943,0.24345468543469906
6042,M3_normalseed_noboost,normal,1.0,7,0.03540996462106705,0.021685227751731873,11,0.229491354431957,0.017665967345237732,0.26391914021223783,0.23951597814448178,0.2460701265372336
7042,M3_normalseed_noboost,normal,1.0,7,0.0362350195646286,0.020109739154577255,12,0.2173603568226099,0.020156240090727806,0.2232728481758386,0.24743301491253078,0.2556764546316117
8042,M3_normalseed_noboost,normal,1.0,7,0.03662111237645149,0.020529447123408318,11,0.22528262669220567,0.016351990401744843,0.2514557014219463,0.24315892765298486,0.25363397574983537
9042,M3_normalseed_noboost,normal,1.0,7,0.037308599799871445,0.021597370505332947,14,0.21686300402507186,0.020335940644145012,0.23076834087260067,0.224058699561283,0.2326439379248768
10042,M3_normalseed_noboost,normal,1.0,7,0.0348757728934288,0.0206197090446949,11,0.23146215686574578,0.01730089820921421,0.2603885945864022,0.23917782912030816,0.25992930796928704
11042,M3_normalseed_noboost,normal,1.0,7,0.037356406450271606,0.023247744888067245,16,0.22235364513471723,0.01737021841108799,0.22914609382860363,0.23317365278489888,0.22802807530388236
12042,M3_normalseed_noboost,normal,1.0,7,0.03606833145022392,0.0209821704775095,18,0.2255134955048561,0.018308322876691818,0.24803501600399613,0.24545269855298102,0.23631077399477363
13042,M3_normalseed_noboost,normal,1.0,7,0.03621875122189522,0.019826896488666534,12,0.22419397998601198,0.019710088148713112,0.2591463983990252,0.23103357339277864,0.256135830655694
14042,M3_normalseed_noboost,normal,1.0,7,0.0352088138461113,0.021735316142439842,16,0.2195958278607577,0.01779508776962757,0.2288649131078273,0.23582598264329135,0.24626372451893985
42,M3_normalseed_boost,normal,2.0,7,0.04161548987030983,0.033244673162698746,17,0.2276006897445768,0.019282007589936256,0.25290645682252944,0.2520597467664629,0.24315034900791943
1042,M3_normalseed_boost,normal,2.0,7,0.03730868175625801,0.021506929770112038,18,0.21407278697006404,0.018033120781183243,0.24201652477495372,0.2349680638872087,0.21292194025591016
2042,M3_normalseed_boost,normal,2.0,7,0.03567054122686386,0.020760660991072655,16,0.22309607989154756,0.018231790512800217,0.239235105458647,0.23738885228522122,0.24353923089802265
3042,M3_normalseed_boost,normal,2.0,7,0.03517187386751175,0.02188059873878956,12,0.21973888739012182,0.01566224731504917,0.24362855590879917,0.23217654367908835,0.24152004276402295
4042,M3_normalseed_boost,normal,2.0,7,0.03726549074053764,0.01964382827281952,11,0.2221867828629911,0.018953057006001472,0.25037289573810995,0.23954144236631691,0.23936323216184974
5042,M3_normalseed_boost,normal,2.0,7,0.03573104739189148,0.022269591689109802,21,0.22621749504469335,0.01917382888495922,0.2420961877796799,0.23503881320357323,0.23668912146240473
6042,M3_normalseed_boost,normal,2.0,7,0.03580008074641228,0.021685227751731873,18,0.22715587611310184,0.017215903848409653,0.24408875545486808,0.23901895992457867,0.241213486995548
7042,M3_normalseed_boost,normal,2.0,7,0.03618514537811279,0.020109739154577255,13,0.22282766178250313,0.02054116688668728,0.24882607301697135,0.2281044975388795,0.235858780099079
8042,M3_normalseed_boost,normal,2.0,7,0.03542514145374298,0.020529447123408318,26,0.22457723482511938,0.016144145280122757,0.2350822906009853,0.22769837942905724,0.23800797085277736
9042,M3_normalseed_boost,normal,2.0,7,0.038680851459503174,0.021597370505332947,19,0.21499140770174563,0.02004844881594181,0.21979442122392356,0.2305398085154593,0.2361724933143705
10042,M3_normalseed_boost,normal,2.0,7,0.03568354621529579,0.0206197090446949,15,0.22485710750333965,0.017313385382294655,0.2541095020715147,0.2367427726276219,0.23184311809018254
11042,M3_normalseed_boost,normal,2.0,7,0.036749936640262604,0.023247744888067245,18,0.22874354617670178,0.017293324694037437,0.24018820142373443,0.2461471394635737,0.25270710582844913
12042,M3_normalseed_boost,normal,2.0,7,0.03770346939563751,0.0209821704775095,18,0.21414371649734676,0.018770940601825714,0.22891397518105805,0.24565248913131654,0.2328848650213331
13042,M3_normalseed_boost,normal,2.0,7,0.036441996693611145,0.019826896488666534,17,0.21898557874374092,0.01987258344888687,0.22590715205296874,0.23514551622793078,0.22979156905785203
14042,M3_normalseed_boost,normal,2.0,7,0.0347476489841938,0.021735316142439842,23,0.22625768347643316,0.017244234681129456,0.2410949047189206,0.23159736231900752,0.23553863423876464
42,M3_adequateseed_noboost,adequate,1.0,7,0.04142651706933975,0.033244673162698746,12,0.22850245865993202,0.01945377141237259,0.26002137642353773,0.24803749076090753,0.24895902373827994
1042,M3_adequateseed_noboost,adequate,1.0,7,0.03600604087114334,0.021506929770112038,7,0.214677028125152,0.017425786703824997,0.2485494341235608,0.23693698761053383,0.21743019809946418
2042,M3_adequateseed_noboost,adequate,1.0,7,0.03580342233181,0.020760660991072655,9,0.22109484067186713,0.018131162971258163,0.2436916318256408,0.2282042228616774,0.25428866571746767
3042,M3_adequateseed_noboost,adequate,1.0,7,0.03520563617348671,0.02188059873878956,6,0.21750624710693955,0.016012461856007576,0.25058843148872256,0.24248111876659095,0.2259836383163929
4042,M3_adequateseed_noboost,adequate,1.0,7,0.03698132559657097,0.01964382827281952,5,0.2288869535550475,0.01858503557741642,0.2594265239313245,0.23833433724939823,0.23812901927158237
5042,M3_adequateseed_noboost,adequate,1.0,7,0.03631599247455597,0.022269591689109802,11,0.2280695775989443,0.018922334536910057,0.2473562986124307,0.2396974773146212,0.24688248126767576
6042,M3_adequateseed_noboost,adequate,1.0,7,0.03558690845966339,0.021685227751731873,11,0.23274912755005062,0.01760292612016201,0.2669552890583873,0.2435180670581758,0.2532284406479448
7042,M3_adequateseed_noboost,adequate,1.0,7,0.036242201924324036,0.020109739154577255,12,0.22236266545951366,0.020295782014727592,0.24230730487033725,0.2374569857493043,0.24867767468094826
8042,M3_adequateseed_noboost,adequate,1.0,7,0.036852896213531494,0.020529447123408318,8,0.22701411717571318,0.016466541215777397,0.26808847254142165,0.24625036236830056,0.2648335185367614
9042,M3_adequateseed_noboost,adequate,1.0,7,0.03765716776251793,0.021597370505332947,10,0.21143272425979376,0.019860370084643364,0.2302035461179912,0.23548456747084856,0.22820985387079418
10042,M3_adequateseed_noboost,adequate,1.0,7,0.03483673557639122,0.0206197090446949,13,0.2344323133584112,0.01729835569858551,0.26567802438512444,0.24313836125656962,0.2436020274180919
11042,M3_adequateseed_noboost,adequate,1.0,7,0.037766698747873306,0.023247744888067245,14,0.22429327946156263,0.017824552953243256,0.2421437392476946,0.2471604908350855,0.2394860985223204
12042,M3_adequateseed_noboost,adequate,1.0,7,0.036443065851926804,0.0209821704775095,12,0.22994624148122966,0.018843797966837883,0.2565881912596524,0.25076711853034794,0.25263053993694484
13042,M3_adequateseed_noboost,adequate,1.0,7,0.036952484399080276,0.019826896488666534,17,0.21970797469839454,0.02006429247558117,0.2355784319806844,0.2257903595454991,0.24634522013366222
14042,M3_adequateseed_noboost,adequate,1.0,7,0.035286590456962585,0.021735316142439842,12,0.21665309369564056,0.017568940296769142,0.24054596270434558,0.23822610755451024,0.22717885044403374
42,M3_adequateseed_boost,adequate,2.0,7,0.040955089032649994,0.033244673162698746,21,0.23010072647593915,0.01943979784846306,0.24998536752536893,0.23799271718598902,0.24671100173145533
1042,M3_adequateseed_boost,adequate,2.0,7,0.03612719476222992,0.021506929770112038,26,0.2172447789926082,0.017408929765224457,0.21204519202001393,0.23188344715163112,0.22883038106374443
2042,M3_adequateseed_boost,adequate,2.0,7,0.03627342730760574,0.020760660991072655,22,0.22229370614513755,0.01831964962184429,0.23138278862461448,0.22437734040431678,0.2415335897821933
3042,M3_adequateseed_boost,adequate,2.0,7,0.03446359932422638,0.02188059873878956,19,0.22064347937703133,0.015455178916454315,0.23471217136830091,0.22953588352538645,0.22879481269046664
4042,M3_adequateseed_boost,adequate,2.0,7,0.03792025148868561,0.01964382827281952,19,0.22670491924509406,0.019181853160262108,0.24528563814237714,0.2344431709498167,0.24068031087517738
5042,M3_adequateseed_boost,adequate,2.0,7,0.03579554334282875,0.022269591689109802,17,0.22919940669089556,0.018893713131546974,0.24031727318651974,0.24232134828343987,0.22960323188453913
6042,M3_adequateseed_boost,adequate,2.0,7,0.03525635972619057,0.021685227751731873,18,0.22432238818146288,0.01734490506350994,0.23922582855448127,0.23886997532099485,0.23755504214204848
7042,M3_adequateseed_boost,adequate,2.0,7,0.0362052395939827,0.020109739154577255,14,0.21760602167341858,0.020429544150829315,0.23206529847811908,0.23696636979002506,0.23302723257802427
8042,M3_adequateseed_boost,adequate,2.0,7,0.03626682609319687,0.020529447123408318,21,0.22660030354745686,0.01615309901535511,0.24650355125777423,0.23686446575447917,0.24075381830334663
9042,M3_adequateseed_boost,adequate,2.0,7,0.03777729719877243,0.021597370505332947,23,0.2150184519123286,0.02012118324637413,0.21644111210480332,0.23036480438895524,0.21340879052877426
10042,M3_adequateseed_boost,adequate,2.0,7,0.035251684486866,0.0206197090446949,14,0.23136197123676538,0.017421849071979523,0.2656532530672848,0.23366162623278797,0.23872173437848687
11042,M3_adequateseed_boost,adequate,2.0,7,0.03767416626214981,0.023247744888067245,18,0.22153280908241868,0.01758171245455742,0.22815808816812932,0.23773771757259965,0.2367045043502003
12042,M3_adequateseed_boost,adequate,2.0,7,0.036076437681913376,0.0209821704775095,19,0.22035978361964226,0.018030598759651184,0.2438230849802494,0.23080238234251738,0.2454585435334593
