seed,condition,memory_id,replay_count,retention,w_slow
42,CONTROL,0,10,0.2600213764235377,0.0874624028801918
42,CONTROL,1,8,0.2480374907609075,0.0616070255637168
42,CONTROL,2,15,0.2489590237382799,0.0606780387461185
42,CONTROL,3,12,0.228502458659932,0.0194537714123725
1042,CONTROL,0,16,0.2485494341235608,0.1113421618938446
1042,CONTROL,1,12,0.2369369876105338,0.0664876475930213
1042,CONTROL,2,10,0.2174301980994641,0.0381116047501564
1042,CONTROL,3,7,0.214677028125152,0.0174257867038249
2042,CONTROL,0,11,0.2436916318256408,0.0785408914089202
2042,CONTROL,1,8,0.2282042228616774,0.0505348406732082
2042,CONTROL,2,17,0.2542886657174676,0.088649995625019
2042,CONTROL,3,9,0.2210948406718671,0.0181311629712581
3042,CONTROL,0,13,0.2505884314887225,0.0883553028106689
3042,CONTROL,1,15,0.2424811187665909,0.0758773237466812
3042,CONTROL,2,11,0.2259836383163929,0.0447419211268425
3042,CONTROL,3,6,0.2175062471069395,0.0160124618560075
4042,CONTROL,0,14,0.2594265239313245,0.094252273440361
4042,CONTROL,1,14,0.2383343372493982,0.0675068795680999
4042,CONTROL,2,12,0.2381290192715823,0.0452990904450416
4042,CONTROL,3,5,0.2288869535550475,0.0185850355774164
5042,CONTROL,0,9,0.2473562986124307,0.0814333856105804
5042,CONTROL,1,11,0.2396974773146212,0.0537394322454929
5042,CONTROL,2,14,0.2468824812676757,0.0728938207030296
5042,CONTROL,3,11,0.2280695775989443,0.01892233453691
6042,CONTROL,0,15,0.2669552890583873,0.1081719174981117
6042,CONTROL,1,8,0.2435180670581758,0.0637003481388092
6042,CONTROL,2,12,0.2532284406479448,0.056686483323574
6042,CONTROL,3,11,0.2327491275500506,0.017602926120162
7042,CONTROL,0,11,0.2423073048703372,0.0756127834320068
7042,CONTROL,1,10,0.2374569857493043,0.0611050501465797
7042,CONTROL,2,12,0.2486776746809482,0.0596786774694919
7042,CONTROL,3,12,0.2223626654595136,0.0202957820147275
8042,CONTROL,0,14,0.2680884725414216,0.0960985273122787
8042,CONTROL,1,10,0.2462503623683005,0.0706161186099052
8042,CONTROL,2,13,0.2648335185367614,0.0878358259797096
8042,CONTROL,3,8,0.2270141171757131,0.0164665412157773
9042,CONTROL,0,10,0.2302035461179912,0.0868937224149704
9042,CONTROL,1,13,0.2354845674708485,0.0689178630709648
9042,CONTROL,2,12,0.2282098538707941,0.0602929294109344
9042,CONTROL,3,10,0.2114327242597937,0.0198603700846433
10042,CONTROL,0,13,0.2656780243851244,0.0982481390237808
10042,CONTROL,1,11,0.2431383612565696,0.0537212640047073
