shared_strength,seed,emergent_core_size,mean_offdiag_jaccard,max_offdiag_jaccard
0.0,42,1,0.05065707170970329,0.08108108108108109
0.0,1042,1,0.0552746763273079,0.08108108108108109
0.0,2042,1,0.06464372592707128,0.0958904109589041
0.25,42,4,0.0934907510249976,0.1111111111111111
0.25,1042,4,0.08930392953464329,0.14285714285714285
0.25,2042,2,0.10385532303340522,0.14285714285714285
0.5,42,12,0.1625833431964335,0.17647058823529413
0.5,1042,10,0.15351691469266485,0.2698412698412698
0.5,2042,9,0.20042322325026454,0.23076923076923078
0.75,42,27,0.36098600100926004,0.40350877192982454
0.75,1042,26,0.3418434715921566,0.3793103448275862
0.75,2042,27,0.42548411801570724,0.5094339622641509
