seed,condition,memory_id,replay_count,retention,w_slow_contrib
42,CONTROL,0,10,0.26002137642353773,0.0874624028801918
42,CONTROL,1,8,0.24803749076090753,0.06160702556371689
42,CONTROL,2,15,0.24895902373827994,0.060678038746118546
42,CONTROL,3,12,0.22850245865993202,0.01945377141237259
1042,CONTROL,0,16,0.2485494341235608,0.1113421618938446
1042,CONTROL,1,12,0.23693698761053383,0.06648764759302139
1042,CONTROL,2,10,0.21743019809946418,0.0381116047501564
1042,CONTROL,3,7,0.214677028125152,0.017425786703824997
2042,CONTROL,0,11,0.2436916318256408,0.07854089140892029
2042,CONTROL,1,8,0.2282042228616774,0.05053484067320824
2042,CONTROL,2,17,0.25428866571746767,0.08864999562501907
2042,CONTROL,3,9,0.22109484067186713,0.018131162971258163
3042,CONTROL,0,13,0.25058843148872256,0.08835530281066895
3042,CONTROL,1,15,0.24248111876659095,0.07587732374668121
3042,CONTROL,2,11,0.2259836383163929,0.0447419211268425
3042,CONTROL,3,6,0.21750624710693955,0.016012461856007576
4042,CONTROL,0,14,0.2594265239313245,0.09425227344036102
4042,CONTROL,1,14,0.23833433724939823,0.06750687956809998
4042,CONTROL,2,12,0.23812901927158237,0.045299090445041656
4042,CONTROL,3,5,0.2288869535550475,0.01858503557741642
5042,CONTROL,0,9,0.2473562986124307,0.08143338561058044
5042,CONTROL,1,11,0.2396974773146212,0.053739432245492935
5042,CONTROL,2,14,0.24688248126767576,0.07289382070302963
5042,CONTROL,3,11,0.2280695775989443,0.018922334536910057
6042,CONTROL,0,15,0.2669552890583873,0.10817191749811172
6042,CONTROL,1,8,0.2435180670581758,0.0637003481388092
6042,CONTROL,2,12,0.2532284406479448,0.056686483323574066
6042,CONTROL,3,11,0.23274912755005062,0.01760292612016201
7042,CONTROL,0,11,0.24230730487033725,0.07561278343200684
7042,CONTROL,1,10,0.2374569857493043,0.06110505014657974
7042,CONTROL,2,12,0.24867767468094826,0.05967867746949196
7042,CONTROL,3,12,0.22236266545951366,0.020295782014727592
8042,CONTROL,0,14,0.26808847254142165,0.09609852731227875
8042,CONTROL,1,10,0.24625036236830056,0.07061611860990524
8042,CONTROL,2,13,0.2648335185367614,0.08783582597970963
8042,CONTROL,3,8,0.22701411717571318,0.016466541215777397
9042,CONTROL,0,10,0.2302035461179912,0.0868937224149704
9042,CONTROL,1,13,0.23548456747084856,0.06891786307096481
9042,CONTROL,2,12,0.22820985387079418,0.06029292941093445
9042,CONTROL,3,10,0.21143272425979376,0.019860370084643364
10042,CONTROL,0,13,0.26567802438512444,0.09824813902378082
10042,CONTROL,1,11,0.24313836125656962,0.053721264004707336
10042,CONTROL,2,9,0.2436020274180919,0.05474322289228439
10042,CONTROL,3,13,0.2344323133584112,0.01729835569858551
11042,CONTROL,0,11,0.2421437392476946,0.06927724927663803
11042,CONTROL,1,13,0.2471604908350855,0.08134866505861282
11042,CONTROL,2,7,0.2394860985223204,0.05443588271737099
11042,CONTROL,3,14,0.22429327946156263,0.017824552953243256
12042,CONTROL,0,10,0.2565881912596524,0.07849341630935669
12042,CONTROL,1,12,0.25076711853034794,0.06566962599754333
12042,CONTROL,2,12,0.25263053993694484,0.0704006776213646
12042,CONTROL,3,12,0.22994624148122966,0.018843797966837883
13042,CONTROL,0,7,0.2355784319806844,0.05899238586425781
13042,CONTROL,1,7,0.2257903595454991,0.044312283396720886
13042,CONTROL,2,14,0.24634522013366222,0.06801527738571167
13042,CONTROL,3,17,0.21970797469839454,0.02006429247558117
14042,CONTROL,0,11,0.24054596270434558,0.061112433671951294
14042,CONTROL,1,13,0.23822610755451024,0.07234784960746765
14042,CONTROL,2,9,0.22717885044403374,0.04198615998029709
14042,CONTROL,3,12,0.21665309369564056,0.017568940296769142
15042,CONTROL,0,8,0.2400657886173576,0.0659327358007431
15042,CONTROL,1,12,0.25140403653495014,0.08128802478313446
15042,CONTROL,2,11,0.2424804752226919,0.052026644349098206
15042,CONTROL,3,14,0.2229705359786749,0.018282776698470116
16042,CONTROL,0,10,0.25293998001143336,0.07027190178632736
16042,CONTROL,1,17,0.2605798707809299,0.08048553764820099
16042,CONTROL,2,9,0.2315683146007359,0.0363476425409317
16042,CONTROL,3,10,0.2339648175984621,0.018960801884531975
17042,CONTROL,0,15,0.24633499700576067,0.0781852975487709
17042,CONTROL,1,14,0.24125829944387078,0.06341946870088577
17042,CONTROL,2,10,0.22492793202400208,0.03866548463702202
17042,CONTROL,3,7,0.22217161604203284,0.019673584029078484
18042,CONTROL,0,12,0.2487696309108287,0.08788099139928818
18042,CONTROL,1,13,0.2512140981853008,0.08068368583917618
18042,CONTROL,2,14,0.25169435958378017,0.07172229886054993
18042,CONTROL,3,6,0.22221006639301777,0.017504697665572166
19042,CONTROL,0,11,0.23479026462882757,0.058089133352041245
19042,CONTROL,1,12,0.24205557303503156,0.08060216903686523
19042,CONTROL,2,10,0.23033455689437687,0.05391193926334381
19042,CONTROL,3,12,0.2219750420190394,0.019129030406475067
42,BOOST_MEM3,0,8,0.24417185015045106,0.0669737160205841
42,BOOST_MEM3,1,9,0.23535718442872167,0.0505647286772728
42,BOOST_MEM3,2,11,0.23255008645355701,0.04472598060965538
42,BOOST_MEM3,3,17,0.22213366581127048,0.01923852227628231
1042,BOOST_MEM3,0,7,0.2137833316810429,0.042364493012428284
