order_name,order,seed,condition,first_encoded,last_encoded,replay_seq0,replay_seq1,replay_seq2,replay_seq3,retention_m0,retention_m1,retention_m2,retention_m3
ABCD,"[0, 1, 2, 3]",42,CONTROL,0,3,10,8,15,12,0.26002137642353773,0.24803749076090753,0.24895902373827994,0.22850245865993202
ABCD,"[0, 1, 2, 3]",42,BOOST_LAST,0,3,9,12,12,12,0.2489952091127634,0.2506636355537921,0.24668854335322976,0.2261562563944608
ABCD,"[0, 1, 2, 3]",42,SUPPRESS_FIRST,0,3,1,14,15,15,0.2335663305129856,0.25557217421010137,0.2578760834876448,0.23025789204984903
ABCD,"[0, 1, 2, 3]",1042,CONTROL,0,3,11,10,13,11,0.22301024687476456,0.23342378321103752,0.2324003423564136,0.21604621992446482
ABCD,"[0, 1, 2, 3]",1042,BOOST_LAST,0,3,8,11,7,19,0.21874643792398274,0.23031607805751264,0.22286585508845747,0.21530455723404884
ABCD,"[0, 1, 2, 3]",1042,SUPPRESS_FIRST,0,3,1,18,13,13,0.2107455173972994,0.2561004383023828,0.2334517794661224,0.21621460863389075
ABDC,"[0, 1, 3, 2]",42,CONTROL,0,2,8,10,14,13,0.24871449684724212,0.2456460716202855,0.22640945622697473,0.23744515469297767
ABDC,"[0, 1, 3, 2]",42,BOOST_LAST,0,2,7,8,9,21,0.24527149880304933,0.23714732518419623,0.22691136272624135,0.23311679298058152
ABDC,"[0, 1, 3, 2]",42,SUPPRESS_FIRST,0,2,2,15,17,11,0.2248787833377719,0.2436678521335125,0.2235893839970231,0.23817541915923357
ABDC,"[0, 1, 3, 2]",1042,CONTROL,0,2,16,10,10,10,0.23647870309650898,0.2295374209061265,0.21670341305434704,0.22978965379297733
ABDC,"[0, 1, 3, 2]",1042,BOOST_LAST,0,2,8,12,7,18,0.2161919162608683,0.23181527480483055,0.21657439041882753,0.21901871636509895
ABDC,"[0, 1, 3, 2]",1042,SUPPRESS_FIRST,0,2,1,16,12,16,0.20475238468497992,0.25206971913576126,0.21182930609211326,0.22254263795912266
ACBD,"[0, 2, 1, 3]",42,CONTROL,0,3,11,16,8,10,0.2568957405164838,0.24187439517118037,0.26013384899124503,0.22245595906861126
ACBD,"[0, 2, 1, 3]",42,BOOST_LAST,0,3,8,14,6,17,0.2477035103365779,0.23811955121345818,0.26848587626591325,0.2289139295462519
ACBD,"[0, 2, 1, 3]",42,SUPPRESS_FIRST,0,3,0,11,21,13,0.2299515341874212,0.2505657821893692,0.245356984436512,0.22428515926003456
ACBD,"[0, 2, 1, 3]",1042,CONTROL,0,3,10,11,11,13,0.2266867570579052,0.236582470824942,0.22868123091757298,0.21963508985936642
ACBD,"[0, 2, 1, 3]",1042,BOOST_LAST,0,3,13,11,2,19,0.24192285630851984,0.22128234850242734,0.2256903420202434,0.2139342857990414
ACBD,"[0, 2, 1, 3]",1042,SUPPRESS_FIRST,0,3,0,13,16,16,0.21085258480161428,0.24722648155875504,0.24564229766838253,0.21786374994553626
BACD,"[1, 0, 2, 3]",42,CONTROL,1,3,8,13,13,11,0.27095610834658146,0.24314382392913103,0.2545349842403084,0.22873954544775188
BACD,"[1, 0, 2, 3]",42,BOOST_LAST,1,3,12,12,9,12,0.26218583690933883,0.25075957481749356,0.24388704937882721,0.22889207233674824
BACD,"[1, 0, 2, 3]",42,SUPPRESS_FIRST,1,3,0,17,13,15,0.2613434137310833,0.22739735338836908,0.24734899797476828,0.2258090425748378
BACD,"[1, 0, 2, 3]",1042,CONTROL,1,3,8,9,14,14,0.22130229230970144,0.22514091664925218,0.23504065489396453,0.21463728579692543
BACD,"[1, 0, 2, 3]",1042,BOOST_LAST,1,3,7,13,4,21,0.23026667907834053,0.22151522617787123,0.21623885724693537,0.2180973186623305
BACD,"[1, 0, 2, 3]",1042,SUPPRESS_FIRST,1,3,0,14,13,18,0.23983849165961146,0.21609983802773058,0.23896967549808323,0.21707126824185252
DCBA,"[3, 2, 1, 0]",42,CONTROL,3,0,11,15,9,10,0.2189391553401947,0.23494578711688519,0.2473648814484477,0.23539302963763475
DCBA,"[3, 2, 1, 0]",42,BOOST_LAST,3,0,10,7,8,20,0.22881615161895752,0.23813186306506395,0.2359296679496765,0.2371456790715456
DCBA,"[3, 2, 1, 0]",42,SUPPRESS_FIRST,3,0,0,17,14,14,0.23972206190228462,0.26662671798840165,0.266448070644401,0.2282939184224233
DCBA,"[3, 2, 1, 0]",1042,CONTROL,3,0,7,13,11,14,0.21858854359015822,0.2317575542256236,0.23394909081980586,0.2156057320535183
DCBA,"[3, 2, 1, 0]",1042,BOOST_LAST,3,0,2,11,7,25,0.2225901591591537,0.23118466488085687,0.22311081504449248,0.211630615638569
DCBA,"[3, 2, 1, 0]",1042,SUPPRESS_FIRST,3,0,0,14,16,15,0.22029994800686836,0.2424233292695135,0.241127735003829,0.20882796123623848
CABD,"[2, 0, 1, 3]",42,CONTROL,2,3,10,10,18,7,0.2584074779879302,0.24825007282197475,0.24626614595763385,0.22937828302383423
CABD,"[2, 0, 1, 3]",42,BOOST_LAST,2,3,10,8,16,11,0.24826381192542613,0.2685191894415766,0.2558631307911128,0.22921648784540594
CABD,"[2, 0, 1, 3]",42,SUPPRESS_FIRST,2,3,1,16,17,11,0.2558108773082495,0.2548814171459526,0.2254760533105582,0.22763615171425045
CABD,"[2, 0, 1, 3]",1042,CONTROL,2,3,13,12,13,7,0.22767969639971852,0.23258634842932224,0.22241869173012674,0.21542281797155738
CABD,"[2, 0, 1, 3]",1042,BOOST_LAST,2,3,6,15,7,17,0.22892908635549247,0.23971827561035752,0.21603625011630356,0.21548314089886844
CABD,"[2, 0, 1, 3]",1042,SUPPRESS_FIRST,2,3,0,15,18,12,0.24588937615044415,0.2508683006744832,0.20544830476865172,0.2136909554246813
DBCA,"[3, 1, 2, 0]",42,CONTROL,3,0,10,8,17,10,0.22695562336593866,0.2351845921948552,0.25048284139484167,0.23839538730680943
DBCA,"[3, 1, 2, 0]",42,BOOST_LAST,3,0,13,8,13,11,0.23079654667526484,0.23527766484767199,0.24362903647124767,0.23692784551531076
DBCA,"[3, 1, 2, 0]",42,SUPPRESS_FIRST,3,0,1,16,13,15,0.23317573755048215,0.2617085361853242,0.23616261105053127,0.22290265164338052
DBCA,"[3, 1, 2, 0]",1042,CONTROL,3,0,15,10,13,8,0.21486367471516132,0.23080666828900576,0.22551955375820398,0.2367167817428708
DBCA,"[3, 1, 2, 0]",1042,BOOST_LAST,3,0,7,15,12,11,0.22005779575556517,0.24476458551362157,0.24375958507880569,0.21446804096922278
DBCA,"[3, 1, 2, 0]",1042,SUPPRESS_FIRST,3,0,0,13,15,17,0.2240079364273697,0.2617883395869285,0.24851748999208212,0.21210693172179163
BCDA,"[1, 2, 3, 0]",42,CONTROL,1,0,14,14,10,7,0.2301003490574658,0.24826443335041404,0.25539937196299434,0.23540719179436564
BCDA,"[1, 2, 3, 0]",42,BOOST_LAST,1,0,11,7,9,18,0.234530215151608,0.24748553289100528,0.24526673927903175,0.2349279779009521
BCDA,"[1, 2, 3, 0]",42,SUPPRESS_FIRST,1,0,1,18,14,12,0.23079520743340254,0.22199176717549562,0.25999498181045055,0.23580914549529552
BCDA,"[1, 2, 3, 0]",1042,CONTROL,1,0,11,10,12,12,0.2168527627363801,0.22565936762839556,0.22170143015682697,0.22727489098906517
BCDA,"[1, 2, 3, 0]",1042,BOOST_LAST,1,0,13,10,3,19,0.21644555125385523,0.24291598983108997,0.2232199553400278,0.21622681338340044
BCDA,"[1, 2, 3, 0]",1042,SUPPRESS_FIRST,1,0,1,11,19,14,0.20811866875737906,0.2057968908920884,0.21938909497112036,0.23145328741520643
