seed,experiment,condition,memory,memory_idx,isyn_score,recall_accuracy,recall_std,binary_recall
42,Task2,FULL,M0,0,0.3270338452421129,0.023904569447040558,0.047809138894081116,0.0
42,Task2,FULL,M1,1,0.3011075546965003,0.0031559372553601863,0.005697589106914229,0.0
42,Task2,FULL,M2,2,0.2914891648106277,0.01788806766271591,0.03577613532543182,0.0
42,Task2,FULL,M3,3,0.24094729032367468,0.0,0.0,0.0
1042,Task2,FULL,M0,0,0.3228158613201231,0.0,0.0,0.0
1042,Task2,FULL,M1,1,0.29664898104965687,0.007016277313232422,0.014032554626464844,0.0
1042,Task2,FULL,M2,2,0.27161489916034043,0.0239872045814991,0.01402035041202805,0.0
1042,Task2,FULL,M3,3,0.2381644193083048,0.02706804797053337,0.03748749661136556,0.0
2042,Task2,FULL,M0,0,0.3558071246370673,0.0,0.0,0.0
2042,Task2,FULL,M1,1,0.3105349326506257,0.0071595247834920885,0.008771515962619898,0.0
2042,Task2,FULL,M2,2,0.30312464805319905,0.005393454805016518,0.010786909610033035,0.0
2042,Task2,FULL,M3,3,0.2543176137842238,0.00021081664599478244,0.0004216332919895649,0.0
3042,Task2,FULL,M0,0,0.3313290874939412,0.0,0.0,0.0
3042,Task2,FULL,M1,1,0.29896545386873186,0.015813709422945976,0.023294629173102818,0.0
3042,Task2,FULL,M2,2,0.2796810371801257,0.0,0.0,0.0
3042,Task2,FULL,M3,3,0.2367026312276721,0.008643405721522867,0.01676474585147737,0.0
4042,Task2,FULL,M0,0,0.3522551904898137,0.0,0.0,0.0
4042,Task2,FULL,M1,1,0.29479784960858524,0.008100479177664965,0.01573382862890673,0.0
4042,Task2,FULL,M2,2,0.29404599126428366,0.012318509351462125,0.0238482018788557,0.0
4042,Task2,FULL,M3,3,0.25489079928956926,0.005962742492556572,0.011925484985113144,0.0
5042,Task2,FULL,M0,0,0.3406229380052537,0.02309400886297226,0.04618801772594452,0.0
5042,Task2,FULL,M1,1,0.2879667989909649,0.0,0.0,0.0
5042,Task2,FULL,M2,2,0.28021930530667305,0.0,0.0,0.0
5042,Task2,FULL,M3,3,0.24452019552700222,0.0,0.0,0.0
6042,Task2,FULL,M0,0,0.336135113844648,0.02828427255153656,0.05656854510307311,0.0
6042,Task2,FULL,M1,1,0.29285020288079977,0.0,0.0,0.0
6042,Task2,FULL,M2,2,0.3152467072941363,0.004780872166156769,0.009561744332313538,0.0
6042,Task2,FULL,M3,3,0.24987348355352879,0.0,0.0,0.0
7042,Task2,FULL,M0,0,0.3548824661411345,0.0,0.0,0.0
7042,Task2,FULL,M1,1,0.3098733751103282,0.012838617339730263,0.017634609819697448,0.0
7042,Task2,FULL,M2,2,0.2946653622202575,0.014524179697036742,0.020563299490758188,0.0
7042,Task2,FULL,M3,3,0.2612126851454377,0.0,0.0,0.0
