param,value,seed,condition,time_sec,mean_retention,M0_retention,M1_retention,M2_retention,M3_retention,ok
GAMMA,0.4,42,FULL,600.4465537071228,0.1950390925630927,0.21574742905795574,0.19044339004904032,0.19771088939160109,0.1762546617537737,True
GAMMA,0.4,42,NO_REPLAY,499.5352554321289,0.0637900612782687,0.059021431021392345,0.05566047923639417,0.07362271472811699,0.06685562012717128,True
GAMMA,0.4,1042,FULL,553.8176188468933,0.19109943532384932,0.203004514798522,0.18533697724342346,0.2017094837501645,0.17434676550328732,True
GAMMA,0.4,1042,NO_REPLAY,507.74081563949585,0.0491776546696201,0.03897128161042929,0.04296758910641074,0.06234182510524988,0.052429922856390476,True
GAMMA,0.4,2042,FULL,532.4465198516846,0.18101219576783478,0.19938451889902353,0.16775088664144278,0.18799284752458334,0.16892053000628948,True
GAMMA,0.4,2042,NO_REPLAY,570.3238356113434,0.05126631399616599,0.04189455835148692,0.039301779586821795,0.06793112866580486,0.055937789380550385,True
GAMMA,0.55,42,FULL,521.6262490749359,0.2644646395929158,0.3061335254460573,0.2719971723854542,0.24965973943471909,0.2300681211054325,True
GAMMA,0.55,42,NO_REPLAY,491.4887228012085,0.05972564371768385,0.05714085325598717,0.053858313243836164,0.06689242646098137,0.061010981909930706,True
GAMMA,0.55,1042,FULL,627.3743677139282,0.24881411995738745,0.2710309708490968,0.2524813786149025,0.25706667732447386,0.21467745304107666,True
GAMMA,0.55,1042,NO_REPLAY,514.8508398532867,0.04662050225306302,0.038848940283060074,0.043867540545761585,0.05551568791270256,0.04824984027072787,True
GAMMA,0.55,2042,FULL,515.2671265602112,0.24038223014213145,0.27228139247745275,0.2285512825474143,0.2485270630568266,0.21216918248683214,True
GAMMA,0.55,2042,NO_REPLAY,500.5472445487976,0.04843576601706445,0.041740845423191786,0.03869662340730429,0.06179016875103116,0.051515426486730576,True
GAMMA,0.65,42,FULL,568.0573523044586,0.30721350270323455,0.3469860255718231,0.325484705157578,0.29497409891337156,0.26140918117016554,True
GAMMA,0.65,42,NO_REPLAY,504.8848600387573,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
GAMMA,0.65,1042,FULL,515.575159072876,0.29156830441206694,0.3313154196366668,0.3058310905471444,0.2753203958272934,0.25380631163716316,True
GAMMA,0.65,1042,NO_REPLAY,494.5273206233978,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
GAMMA,0.65,2042,FULL,514.2590296268463,0.29922063276171684,0.33683279156684875,0.29734081123024225,0.3030071211978793,0.25970180705189705,True
GAMMA,0.65,2042,NO_REPLAY,561.9985120296478,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
GAMMA,0.8,42,FULL,532.6752333641052,1.048902097158134,1.5624356269836426,1.571718692779541,0.5599856749176979,0.5014683939516544,True
GAMMA,0.8,42,NO_REPLAY,544.2202730178833,0.051141221541911364,0.052726175636053085,0.049451583065092564,0.05175763927400112,0.050629488192498684,True
